voterId,project,amount,projectId,category,projectHash,project_alphabet_pos
5,Lotus Dependencies,1,ID058,Infrastructure & Dependencies,0x20b54ce1a1048d2670c4b1d6d7d80a30a8c5cec7b29f178b1e155ca0b0ac6c29,12
5,Dataswap,0,ID011,Collective Governance,0xde7c3c8c5395cbc1156f3f9516ebf7ae3c1b341c7f75ea1e1c5bd8d89af22770,4
5,Fileverse HeartBit SDK ,0,ID038,Product & End User UX,0xcb28c084834ace413c927980904032c0ef3a2d97338a27323f233e4fac8ff5d6,6
5,Forest,0,ID042,Protocol R&D,0xf092ff4b7235a2fc30d398e434760caed0f0323acb70ad947f04568add91747e,6
5,New Web Group,0,ID065,Education & Outreach,0x88819231303c0c54f11ae6f13d46354baac746ebcb5e4f756be0a705fcabb515,14
5,Portrait,0,ID071,Product & End User UX,0x90d86d43d785684b45690894cb2ff4c73b027f4e0578d765bd4cbdb4347299d8,16
17,ETHGlobal,15,ID016,Education & Outreach,0xce97de14580a1bbcd5593845027e479ec085beb71bf8af447ffcd7f7cf03bfe2,5
17,Filecoin Orbit Ambassadors,15,ID034,Education & Outreach,0xcf273ad1694f5a048520eda198b59b250b421ef3649b7153d9196ab9cc13d80d,6
17,FileMarket,5,ID028,Product & End User UX,0xceb238d2abdfe413a919b6aefefed19b605ce604a2580d4d858608f836ffb67b,6
17,Funding the Commons,5,ID044,Education & Outreach,0x0199caad853c76c63bb74ce99e7b40a3bc61822270cab811f9801e6f0f8e1917,6
17,Lighthouse.Storage,5,ID056,Product & End User UX,0x9096256fd623d4e342e1a9347362a2f81317d7b22bee687556bc69bba2edccb6,12
17,Network Health Dashboard,5,ID064,Collective Governance,0x36bc90afcc938cbb76cc781bc1a53c50dd99612c6630be0e9e5374f4f3605ad2,14
17,NFT.Storage,5,ID063,Product & End User UX,0x951b19d508e315c128080a220b0d284ff384d7c5e81ce99ef0853a0fe921d665,14
17,BlockScience,5,ID005,Collective Governance,0xe005bfa9d9494de9433a92c1946a7e49fda5bd15bf9bf1b8e44c45caeac88aed,2
17,Chainnode,5,ID008,Infrastructure & Dependencies,0xb6cd5a5c89fbd23970a24d39d997d00e5254bb6f4039d4cd4bd5d18d754d7890,3
17,Damocles,5,ID009,Infrastructure & Dependencies,0xc83b626dc947832889b19879042a25b234a10835b1ab18073a9682e81a711962,4
17,Eastore,2,ID017,Product & End User UX,0x0d4b487bf2933dae9946be2c5aa7d0a715d62ab3d4904c77bca5270f160f65ba,5
17,EC Finality Calculator,2,ID015,Protocol R&D,0x4b20ec1c603f59810e43986da1965467a8a85beb422bd77c424ab172110c8cca,5
17,"drand: distributed, verifiable randomness ",2,ID096,Infrastructure & Dependencies,0x3058eb34788aeec3a817d436969d13a9963314f4c9d201e766cbd84a126e8935,4
17,Banyan Storage,2,ID003,Protocol R&D,0xbad5b1ef0e513116a9f4da037fa3b5c9b8e35e744d9de8a45714c0caf205f0b8,2
17,B<>rder/ess Developers Programme,2,ID002,Education & Outreach,0x8168c0368b1d4e32fec90360b0ae151530e134ee715bdeb089465cc1b7b63eb5,2
17,Droplet,5,ID014,Infrastructure & Dependencies,0xf9fd0f85ed1a234d9c6e784d03b134171f67988ce61fa8ca749186aa83d98cbb,4
17,Energy Validation Process & Green Scores Methodology,5,ID018,Other,0xd45faee9e5d601e72148a87cc44ed61ea37db87ae19970d78f0ab0d78d752dfd,5
17,Filecoin Africa; Empowering Africa with Decentralized Storage ,5,ID030,Education & Outreach,0x8cd3f9a9cea2ffffe1376cdd70b133d4d912140762f320dcfbcbe9ed5ab19a08,6
17,"Filecoin Developer Experience (FVM, IPC +++)",5,ID032,Education & Outreach,0xdfee4120a71a1f19794db87d6504181ae1092b808e63b5cbb48c83dee02a9ada,6
9,Filecoin Proofs,10,ID035,Infrastructure & Dependencies,0x40bf2a32e5abce2f001fee83bfe271e0e9f73601e27f36ccd369017cc255df02,6
9,Lotus Dependencies,10,ID058,Infrastructure & Dependencies,0x20b54ce1a1048d2670c4b1d6d7d80a30a8c5cec7b29f178b1e155ca0b0ac6c29,12
9,"drand: distributed, verifiable randomness ",10,ID096,Infrastructure & Dependencies,0x3058eb34788aeec3a817d436969d13a9963314f4c9d201e766cbd84a126e8935,4
9,Beryx,10,ID004,Infrastructure & Dependencies,0xf9b123ffd4b691b96b8962a81bcbb687deccd2442b3e7a5a09413ad0dadc19d5,2
9,Boost,10,ID006,Tooling & Utilities,0x0c8d608b5440a069fd453703298ecc126c4f01cf520d45e6f9f167b14a60a257,2
9,Sophon,10,ID079,Infrastructure & Dependencies,0xb5692a80728436bdc0db26d2de1c74db6a125566b1755c830b3ef20ae996b0f8,19
9,RIBS,5,ID077,Tooling & Utilities,0x13c7c5908bfe2eff8601665febcf48d41f3d471a1caa2ca2dd78e5a1083ae0ba,18
9,quic-go and webtransport-go,5,ID102,Infrastructure & Dependencies,0x1a159dbe4eab156395dff7c1f71796a84436219374f7245205ea86714405b59c,17
9,"ProbeLab: Building tools for P2P layer monitoring, measurements and analytics",5,ID074,Tooling & Utilities,0x852d9e9aa55c7da54dca72fa4802906c2af39b05eddd6d6711752f80253f6cf1,16
9,Open Impact Foundation,8,ID067,Infrastructure & Dependencies,0x2d595442b205c1b35eb28642b2db6f5e838112f2e63c92024dd4e9601845b269,15
9,go-fil-dataprep,5,ID098,Tooling & Utilities,0xfb72d11296f5dc58040b85b7a1656119474ec6caadf16a40fb123933b29bc863,7
9,Filecoin Upgrade Coordinators,6,ID037,Collective Governance,0x48a43552ebdda03f12ef5eb765af41c692ef68892c91cab62bf866588e1c642e,6
9,FRC-0069,6,ID023,Protocol R&D,0x7aaaadd55ef47f1ae96fd3d5bae2b1dfad2dfd2287f633d6382a32fb15dad944,6
21,Asia SPWG,4,ID000,Education & Outreach,0xf9f22dc2367a0a06b984f9dd6289f3b9e5b1e91c1da1c7ef14f8165f759fc11a,1
21,AuralGenius,0,ID001,Infrastructure & Dependencies,0x01190adcf707f7b31580d2f600aac61569e4fef1b256da055c1cb650108f1bdf,1
21,Banyan Storage,0,ID003,Protocol R&D,0xbad5b1ef0e513116a9f4da037fa3b5c9b8e35e744d9de8a45714c0caf205f0b8,2
21,Beryx,2,ID004,Infrastructure & Dependencies,0xf9b123ffd4b691b96b8962a81bcbb687deccd2442b3e7a5a09413ad0dadc19d5,2
21,BlockScience,2,ID005,Collective Governance,0xe005bfa9d9494de9433a92c1946a7e49fda5bd15bf9bf1b8e44c45caeac88aed,2
21,Boost,0,ID006,Tooling & Utilities,0x0c8d608b5440a069fd453703298ecc126c4f01cf520d45e6f9f167b14a60a257,2
21,B<>rder/ess Developers Programme,0,ID002,Education & Outreach,0x8168c0368b1d4e32fec90360b0ae151530e134ee715bdeb089465cc1b7b63eb5,2
21,Chain Base Tools,0,ID007,Tooling & Utilities,0x6aa947459da0486a7e75a487dae3aa3fca563eb4c6f194fd469a2c637fd91734,3
21,Chainnode,2,ID008,Infrastructure & Dependencies,0xb6cd5a5c89fbd23970a24d39d997d00e5254bb6f4039d4cd4bd5d18d754d7890,3
21,Damocles,2,ID009,Infrastructure & Dependencies,0xc83b626dc947832889b19879042a25b234a10835b1ab18073a9682e81a711962,4
21,Data Horizon,0,ID010,Product & End User UX,0xf0419565c10ad5c378304cc153e19f64c4c75a0d5254300c2f6419f7e612aadf,4
21,Dataswap,0,ID011,Collective Governance,0xde7c3c8c5395cbc1156f3f9516ebf7ae3c1b341c7f75ea1e1c5bd8d89af22770,4
21,DeFi Leaderboard,0,ID012,Tooling & Utilities,0x453ba9809d32752f773ec79024f00338c0babb169094cd17f56e33918a37daa4,4
21,Definomics Labs,2,ID013,Education & Outreach,0x1dd6978a797fd868b6a82273883281fcd99872053819ea0c06b5f9795334a79f,4
